"taxid","species_name","accession_num","seq_name","seq_len"
"3363751","Shuja horei","2892916095","",""
"3363610","Jabarichromis pfefferi","2892916071","",""
"3362876","Kihnichthys ufermanni","296012253","",""
"3362043","Wallaceochromis rubrolabiatus","","",""
"3361905","Tropheops novemfasciatus","","",""
"3361592","Thorichthys panchovillai","","",""
"3361526","Talamancaheros underwoodi","","",""
"3361249","Stigmatochromis pholidophorus","","",""
"3361248","Stigmatochromis macrorhynchos","","",""
"3360486","Rocio spinosissima","296012205","",""
"3360106","Pseudotropheus interruptus","","",""
"3360104","Pseudotropheus fuscus","","",""
"3359846","Protomelas triaenodon","","",""
"3359514","Placidochromis trewavasae","","",""
"3359509","Placidochromis obscurus","","",""
"3359503","Placidochromis mbunoides","","",""
"3359497","Placidochromis hennydaviesae","","",""
"3359489","Placidochromis acutirostris","","",""
"3358660","Otopharynx tetraspilus","","",""
"3358657","Otopharynx selenurus","","",""
"3358655","Otopharynx panniculus","","",""
"3358653","Otopharynx decorus","","",""
"3357458","Melanochromis mpoto","","",""
"3357456","Melanochromis dialeptos","","",""
"3357396","Maylandia pulpican","","",""
"3357115","Lobochilotes labiata","2892916028","",""
"3357000","Lethrinops atrilabris","","",""
"3355987","Hemitaeniochromis brachyrhynchus","","",""
"3355774","Haplochromis degeni","","",""
"3355609","Greenwoodochromis staneri","","",""
"3355608","Greenwoodochromis abeelei","1061272780","",""
"3354084","Crenicara punctulata","208479725","",""
"3353860","Coptodon imbrifernus","","",""
"3353859","Coptodon gutturosus","","",""
"3353858","Coptodon flavus","","",""
"3353857","Coptodon coffea","","",""
"3353512","Chindongo minutus","","",""
"3353510","Chindongo heteropictus","","",""
"3352475","Aulonocara stonemani","","",""
"3352472","Aulonocara gertrudae","","",""
"3351789","Alticorpus peterdaviesi","","",""
"3132026","Lufubuchromis relictus","","",""
"3075802","Diplotaxodon longimaxilla","","",""
"3075801","Cynotilapia zebroides","","",""
"3075800","Cynotilapia aurifrons","","",""
"3035823","Rubricatochromis lifalili","1047412091","",""
"3035822","Rubricatochromis bimaculatus","1443146295","",""
"3026021","Tahuantinsuyoa chipi","","",""
"3026020","Bujurquina robusta","","",""
"3026019","Bujurquina moriorum","","",""
"3026018","Bujurquina labiosa","","",""
"3024885","Haplochromis oregosoma","","",""
"3024884","Haplochromis argens","","",""
"3024641","Haplochromis annectidens","","",""
"3024640","Haplochromis limax","","",""
"3002305","Mylochromis ensatus","","",""
"3002218","Stigmatochromis melanchros","","",""
"3002117","Petrotilapia microgalana","","",""
"3001729","Haplochromis antleter","","",""
"3001609","Labidochromis maculicauda","","",""
