location,feeding_strategy,count
lake_taganyika,active_predator,9
lake_taganyika,general,2
lake_taganyika,grazer,6
lake_taganyika,micro_predator,3
lake_taganyika,detritivore,0
central_america,active_predator,3
central_america,general,11
central_america,grazer,1
central_america,micro_predator,0
central_america,detritivore,0
south_america,active_predator,2
south_america,general,10
south_america,grazer,2
south_america,micro_predator,0
south_america,detritivore,2
african_rivers,active_predator,3
african_rivers,general,7
african_rivers,grazer,4
african_rivers,micro_predator,0
african_rivers,detritivore,0
other,active_predator,0
other,general,0
other,grazer,0
other,micro_predator,2
other,detritivore,1
