species_name,location_group
Amatitlania_sajica,Central_American_freshwaters
Amphilophus_citrinellus,Central_American_freshwaters
Thorichthys_meeki,Central_American_freshwaters
Eretmodus_cyanostictus,Lake_Tanganyika
Cyprichromis_leptosoma,Lake_Tanganyika
Sarotherodon_melanotheron,African_rivers_lagoons_widespread
Neolamprologus_toae,Lake_Tanganyika
Variabilichromis_moorii,Lake_Tanganyika
Altolamprologus_calvus,Lake_Tanganyika
Cardiopharynx_schoutedeni,Lake_Tanganyika
Boulengerochromis_microlepis,Lake_Tanganyika
Cyrtocara_moorii,Other_single_lake_endemics
Pelvicachromis_pulcher,African_rivers_lagoons_widespread
Cyphotilapia_frontosa,Lake_Tanganyika
Ophthalmotilapia_ventralis,Lake_Tanganyika
Bathybates_ferox,Lake_Tanganyika
Aulonocranus_dewindti,Lake_Tanganyika
Tropheus_moorii,Lake_Tanganyika
Tropheus_duboisi,Lake_Tanganyika
Sarotherodon_galilaeus,Other_single_lake_endemics
Oreochromis_tanganicae,Lake_Tanganyika
Coptodon_zillii,African_rivers_lagoons_widespread
Oreochromis_niloticus,African_rivers_lagoons_widespread
Herichthys_cyanoguttatus,Central_American_freshwaters
Congolapia_bilineata,African_rivers_lagoons_widespread
Rocio_octofasciata,Central_American_freshwaters
Thorichthys_maculipinnis,Central_American_freshwaters
Nandopsis_tetracanthus,Central_American_freshwaters
Mayaheros_urophthalmus,Central_American_freshwaters
Hemichromis_elongatus,African_rivers_lagoons_widespread
Mikrogeophagus_ramirezi,South_American_Malagasy_rivers
Neolamprologus_modestus,Lake_Tanganyika
Amphilophus_trimaculatus,Central_American_freshwaters
Petrochromis_polyodon,Lake_Tanganyika
Limnotilapia_dardennii,Lake_Tanganyika
Andinoacara_rivulatus,South_American_Malagasy_rivers
Paretroplus_maculatus,South_American_Malagasy_rivers
Ptychochromis_grandidieri,South_American_Malagasy_rivers
Bathybates_fasciatus,Lake_Tanganyika
Nanochromis_parilus,African_rivers_lagoons_widespread
Parachromis_managuensis,Central_American_freshwaters
Hypselecara_temporalis,South_American_Malagasy_rivers
Trichromis_salvini,Central_American_freshwaters
Andinoacara_pulcher,South_American_Malagasy_rivers
Pseudosimochromis_curvifrons,Lake_Tanganyika
Plecodus_straeleni,Lake_Tanganyika
Oreochromis_andersonii,African_rivers_lagoons_widespread
Pelmatolapia_mariae,African_rivers_lagoons_widespread
Stomatepia_mariae,Other_single_lake_endemics
Herichthys_labridens,Central_American_freshwaters
Petenia_splendida,Central_American_freshwaters
Retroculus_xinguensis,South_American_Malagasy_rivers
Satanoperca_jurupari,South_American_Malagasy_rivers
Cichla_temensis,South_American_Malagasy_rivers
Paratilapia_polleni,South_American_Malagasy_rivers
Uaru_amphiacanthoides,South_American_Malagasy_rivers
Hoplarchus_psittacus,South_American_Malagasy_rivers
Heterochromis_multidens,African_rivers_lagoons_widespread
Tilapia_sparrmanii,African_rivers_lagoons_widespread
Coptodon_guineensis,African_rivers_lagoons_widespread
Rubricatochromis_bimaculatus,African_rivers_lagoons_widespread
Pseudetroplus_maculatus,South_American_Malagasy_rivers
Ptychochromis_oligacanthus,South_American_Malagasy_rivers
Teleogramma_depressa,African_rivers_lagoons_widespread
Rubricatochromis_letourneuxi,African_rivers_lagoons_widespread
Heros_efasciatus,South_American_Malagasy_rivers
Vieja_bifasciata,Central_American_freshwaters
Planiliza_haematocheilus,Estuarine_marine
Caquetaia_kraussii,South_American_Malagasy_rivers
