"taxid","species_name","accession_num","seq_name","seq_len"
"3363751","Shuja horei","1061272822","",""
"3363610","Jabarichromis pfefferi","","",""
"3362876","Kihnichthys ufermanni","","",""
"3362043","Wallaceochromis rubrolabiatus","","",""
"3361905","Tropheops novemfasciatus","","",""
"3361592","Thorichthys panchovillai","2909953122","",""
"3361526","Talamancaheros underwoodi","","",""
"3361249","Stigmatochromis pholidophorus","","",""
"3361248","Stigmatochromis macrorhynchos","","",""
"3360486","Rocio spinosissima","305434708","",""
"3360106","Pseudotropheus interruptus","","",""
"3360104","Pseudotropheus fuscus","","",""
"3359846","Protomelas triaenodon","","",""
"3359514","Placidochromis trewavasae","","",""
"3359509","Placidochromis obscurus","","",""
"3359503","Placidochromis mbunoides","","",""
"3359497","Placidochromis hennydaviesae","","",""
"3359489","Placidochromis acutirostris","","",""
"3358660","Otopharynx tetraspilus","","",""
"3358657","Otopharynx selenurus","","",""
"3358655","Otopharynx panniculus","","",""
"3358653","Otopharynx decorus","","",""
"3357458","Melanochromis mpoto","","",""
"3357456","Melanochromis dialeptos","","",""
"3357396","Maylandia pulpican","","",""
"3357115","Lobochilotes labiata","159135016","",""
"3357000","Lethrinops atrilabris","","",""
"3355987","Hemitaeniochromis brachyrhynchus","","",""
"3355774","Haplochromis degeni","","",""
"3355609","Greenwoodochromis staneri","","",""
"3355608","Greenwoodochromis abeelei","1061272838","",""
"3354084","Crenicara punctulata","","",""
"3353860","Coptodon imbrifernus","","",""
"3353859","Coptodon gutturosus","","",""
"3353858","Coptodon flavus","","",""
"3353857","Coptodon coffea","","",""
"3353512","Chindongo minutus","","",""
"3353510","Chindongo heteropictus","","",""
"3352475","Aulonocara stonemani","","",""
"3352472","Aulonocara gertrudae","","",""
"3351789","Alticorpus peterdaviesi","","",""
"3132026","Lufubuchromis relictus","","",""
"3075802","Diplotaxodon longimaxilla","","",""
"3075801","Cynotilapia zebroides","","",""
"3075800","Cynotilapia aurifrons","","",""
"3035823","Rubricatochromis lifalili","2692941896","",""
"3035822","Rubricatochromis bimaculatus","16303775","",""
"3026021","Tahuantinsuyoa chipi","2440757935","",""
"3026020","Bujurquina robusta","2440758227","",""
"3026019","Bujurquina moriorum","2440758173","",""
"3026018","Bujurquina labiosa","2440757949","",""
"3024885","Haplochromis oregosoma","","",""
"3024884","Haplochromis argens","","",""
"3024641","Haplochromis annectidens","","",""
"3024640","Haplochromis limax","","",""
"3002305","Mylochromis ensatus","","",""
"3002218","Stigmatochromis melanchros","","",""
"3002117","Petrotilapia microgalana","","",""
"3001729","Haplochromis antleter","","",""
"3001609","Labidochromis maculicauda","","",""
"3001389","Placidochromis elongatus","","",""
"3001388","Placidochromis boops","","",""
"3000954","Melanochromis baliodigma","","",""
"3000375","Haplochromis microdon","","",""
"3000199","Diplotaxodon ecclesi","","",""
"2999775","Bujurquina tambopatae","2440758225","",""
"2999773","Bujurquina megalospilus","2440757965","",""
"2983622","Geophagus parnaibae","2313620054","",""
"2983620","Geophagus neambi","2313620052","",""
"2965234","Hemichromis angolensis","","",""
"2962739","Tylochromis trewavasae","","",""
"2962738","Lamprologus tumbanus","2508731253","",""
"2962737","Rubricatochromis cerasogaster","","",""
"2962736","Chromidotilapia mamonekenei","","",""
"2957226","Gymnogeophagus lacustris","2320173346","",""
"2948619","Ptychochromis loisellei","","",""
"2948617","Paretroplus petiti","","",""
"2944963","Apistogramma commbrae","","",""
"2938789","Rocio gemmata","","",""
"2929786","Haplochromis simba","","",""
"2929785","Haplochromis dolorosus","","",""
"2929784","Haplochromis engystoma","","",""
"2929783","Haplochromis vicarius","","",""
"2926661","Pseudetroplus maculatus","16303755","",""
"2910447","Protomelas labridens","","",""
"2910446","Protomelas kirkii","","",""
"2910445","Otopharynx ovatus","","",""
"2910444","Otopharynx auromarginatus","","",""
"2910443","Mylochromis formosus","","",""
"2910442","Melanochromis lepidiadaptes","","",""
"2910441","Lethrinops micrentodon","","",""
"2910440","Copadichromis verduyni","","",""
"2910439","Copadichromis melas","","",""
"2910438","Copadichromis atripinnis","","",""
"2910437","Buccochromis spectabilis","","",""
"2910436","Aulonocara saulosi","","",""
"2910435","Aulonocara ethelwynnae","","",""
"2904584","Petrotilapia chrysos","","",""
"2898554","Labeotropheus artatorostris","","",""
"2897418","Haplochromis fuelleborni","","",""
"2884491","Crenicichla ternetzi","","",""
"2884489","Crenicichla nickeriensis","2117208907","",""
"2884488","Crenicichla labrina","","",""
"2884487","Crenicichla isbrueckeri","2117208949","",""
"2884484","Crenicichla brasiliensis","2117209213","",""
"2873762","Australoheros acaroides","","",""
"2873647","Heros notatus","","",""
"2867283","Crenicichla niederleinii","","",""
"2855657","Geophagus mirabilis","","",""
"2835316","Krobia itanyi","","",""
"2833481","Satanoperca rhynchitis","","",""
"2829702","Haplochromis kimondo","","",""
"2829701","Haplochromis rex","","",""
