"taxid","species_name","accession_num","seq_name","seq_len"
3363751,"Shuja horei","EU753935","Ctenochromis horei isolate 2524 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
3363610,"Jabarichromis pfefferi",NA,NA,NA
3362876,"Kihnichthys ufermanni",NA,NA,NA
3362043,"Wallaceochromis rubrolabiatus","KJ816413","Pelvicachromis rubrolabiatus isolate CICH24 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",993
3361905,"Tropheops novemfasciatus",NA,NA,NA
3361592,"Thorichthys panchovillai",NA,NA,NA
3361526,"Talamancaheros underwoodi",NA,NA,NA
3361249,"Stigmatochromis pholidophorus",NA,NA,NA
3361248,"Stigmatochromis macrorhynchos",NA,NA,NA
3360486,"Rocio spinosissima",NA,NA,NA
3360106,"Pseudotropheus interruptus",NA,NA,NA
3360104,"Pseudotropheus fuscus",NA,NA,NA
3359846,"Protomelas triaenodon",NA,NA,NA
3359514,"Placidochromis trewavasae",NA,NA,NA
3359509,"Placidochromis obscurus",NA,NA,NA
3359503,"Placidochromis mbunoides",NA,NA,NA
3359497,"Placidochromis hennydaviesae",NA,NA,NA
3359489,"Placidochromis acutirostris",NA,NA,NA
3358660,"Otopharynx tetraspilus",NA,NA,NA
3358657,"Otopharynx selenurus",NA,NA,NA
3358655,"Otopharynx panniculus",NA,NA,NA
3358653,"Otopharynx decorus",NA,NA,NA
3357458,"Melanochromis mpoto",NA,NA,NA
3357456,"Melanochromis dialeptos",NA,NA,NA
3357396,"Maylandia pulpican","KJ955414","Cynotilapia pulpican isolate PP_Psepul NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",1035
3357115,"Lobochilotes labiata","EF679250","Lobochilotes labiatus NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
3357000,"Lethrinops atrilabris",NA,NA,NA
3355987,"Hemitaeniochromis brachyrhynchus",NA,NA,NA
3355774,"Haplochromis degeni","AY930064","Platytaeniodus degeni NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
3355609,"Greenwoodochromis staneri","AY682542","Limnochromis staneri isolate 2385 Mpulungu NADH hydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
3355608,"Greenwoodochromis abeelei","AY682535","Limnochromis abeelei isolate 2487 Mpulungu NADH hydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
3354084,"Crenicara punctulata",NA,NA,NA
3353860,"Coptodon imbrifernus",NA,NA,NA
3353859,"Coptodon gutturosus",NA,NA,NA
3353858,"Coptodon flavus",NA,NA,NA
3353857,"Coptodon coffea","AF317254","Tilapia coffea NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial gene for mitochondrial product",1046
3353512,"Chindongo minutus",NA,NA,NA
