"taxid","species_name","accession_num","seq_name","seq_len"
3035822,"Rubricatochromis bimaculatus","MG824594","Rubricatochromis bimaculatus voucher YLMC021 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",547
2926661,"Pseudetroplus maculatus","MH795977","Pseudetroplus maculatus voucher FBRC_ZSI_F_2663 cytochrome oxidase c subunit I (COI) gene, partial cds; mitochondrial",627
2591259,"Ptychochromis oligacanthus","AY263874","Ptychochromis oligacanthus mananjeba cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial gene for mitochondrial product",649
795476,"Teleogramma depressa","KP714157","Teleogramma depressa voucher 224163 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",591
762061,"Rubricatochromis letourneuxi","LC487104","Hemichromis letourneuxi Hlet5 mitochondrial COI gene, cytochrome c oxidase subunit 1, partial sequence",686
745802,"Heros efasciatus","MH931711","Heros efasciatus isolate 11396 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",435
673032,"Vieja bifasciata","GU817278","Vieja bifasciata cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",590
665408,"Congolapia bilineata","MK074116","Congolapia bilineata voucher A7-31-890 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",652
661982,"Rocio octofasciata","KJ669407","Rocio octofasciata isolate CES-127 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",655
407193,"Thorichthys maculipinnis","GU817274","Thorichthys ellioti cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",590
329337,"Nandopsis tetracanthus","DQ119212","Nandopsis tetracanthus cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",590
318743,"Mayaheros urophthalmus","OR138899","Mayaheros urophthalmus voucher CH829-B08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",650
293472,"Hemichromis elongatus","MK074333","Hemichromis elongatus voucher A7-09-874 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",652
284740,"Mikrogeophagus ramirezi","KU568932","Mikrogeophagus ramirezi voucher KW12-AT025 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",627
272725,"Neolamprologus modestus","KU194104","Neolamprologus modestus isolate MRAC92.81.P.1395 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",656
247411,"Amphilophus trimaculatus","GU817267","Cichlasoma trimaculatum cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",590
244514,"Petrochromis polyodon","KU194034","Petrochromis polyodon isolate MRAC95.96.P_tag2858 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",656
244511,"Limnotilapia dardennii","KU194121","Limnotilapia dardennii isolate MRAC95.96.P_tag1450 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",656
242820,"Andinoacara rivulatus","NC_025671","Andinoacara rivulatus mitochondrion, complete genome",16585
238224,"Paretroplus maculatus","MW630758","Paretroplus maculatus isolate MAD 96-24 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",658
238217,"Ptychochromis grandidieri","MW630759","Ptychochromis grandidieri cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",658
219385,"Bathybates fasciatus","KU194192","Bathybates fasciatus isolate MRAC92.81.P.291 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",656
219373,"Nanochromis parilus","KX347624","Nanochromis parilus cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",604
172535,"Parachromis managuensis","PV837848","Parachromis managuensis voucher STRI-X-6531 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",655
172532,"Hypselecara temporalis","DQ119219","Hypselecara temporalis cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",590
172524,"Trichromis salvini","OR138967","Trichromis salvini voucher CH843-H07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",650
