"taxid","species_name","accession_num","seq_name","seq_len"
3035822,"Rubricatochromis bimaculatus","KF557029","Hemichromis bimaculatus hypothetical protein (ptr) gene, partial cds",636
2926661,"Pseudetroplus maculatus","JX190169","Etroplus maculatus hypothetical protein (ptr) gene, partial cds",705
2591259,"Ptychochromis oligacanthus","KF557010","Ptychochromis oligacanthus hypothetical protein (ptr) gene, partial cds",582
795476,"Teleogramma depressa","KP714195","Teleogramma depressa voucher 224163 Ptr (Ptr) gene, partial cds",737
762061,"Rubricatochromis letourneuxi","KF557031","Hemichromis letourneuxi hypothetical protein (ptr) gene, partial cds",642
745802,"Heros efasciatus","JX190170","Heros efasciatus hypothetical protein (ptr) gene, partial cds",705
673032,"Vieja bifasciata","HQ427603","Vieja bifasciata voucher UTFTC 2033 hypothetical protein LOC564097 (Ptr) gene, partial cds",705
665408,"Congolapia bilineata","GQ168075","Tilapia bilineata 'Salonga' isolate J66 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
661982,"Rocio octofasciata","KF557085","Rocio octofasciata hypothetical protein (ptr) gene, partial cds",543
407193,"Thorichthys maculipinnis","HQ427611","Thorichthys ellioti voucher UtFTC 2841 hypothetical protein LOC564097 (Ptr) gene, partial cds",705
329337,"Nandopsis tetracanthus","KF557081","Nandopsis tetracanthus hypothetical protein (ptr) gene, partial cds",631
318743,"Mayaheros urophthalmus","HQ427624","Cichlasoma urophthalmum voucher UTFTC 2369 hypothetical protein LOC564097 (Ptr) gene, partial cds",705
293472,"Hemichromis elongatus","GQ168063","Hemichromis elongatus isolate J50 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
284740,"Mikrogeophagus ramirezi","KF557079","Mikrogeophagus ramirezi hypothetical protein (ptr) gene, partial cds",642
272725,"Neolamprologus modestus","HM050182","Neolamprologus modestus hypothetical protein LOC564097 (Ptr) gene, partial cds",747
247411,"Amphilophus trimaculatus","HQ427613","Cichlasoma trimaculatum voucher UTFTC 2759 hypothetical protein LOC564097 (Ptr) gene, partial cds",705
244514,"Petrochromis polyodon","KF557043","Petrochromis polyodon hypothetical protein (ptr) gene, partial cds",594
244511,"Limnotilapia dardennii","KF557034","Limnotilapia dardennii hypothetical protein (ptr) gene, partial cds",642
242820,"Andinoacara rivulatus","KF557063","Andinoacara rivulatus hypothetical protein (ptr) gene, partial cds",567
238224,"Paretroplus maculatus","JX190173","Paretroplus maculatus hypothetical protein (ptr) gene, partial cds",705
238217,"Ptychochromis grandidieri","JX190174","Ptychochromis grandidieri hypothetical protein (ptr) gene, partial cds",570
219385,"Bathybates fasciatus","KF557014","Bathybates fasciatus hypothetical protein (ptr) gene, partial cds",642
219373,"Nanochromis parilus","GQ168066","Nanochromis parilus isolate J53 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
172535,"Parachromis managuensis","KF557082","Parachromis managuensis hypothetical protein (ptr) gene, partial cds",543
172532,"Hypselecara temporalis","KF557073","Hypselecara temporalis hypothetical protein (ptr) gene, partial cds",642
172524,"Trichromis salvini","KF557080","Cichlasoma salvini hypothetical protein (ptr) gene, partial cds",546
172522,"Andinoacara pulcher","HM050147","Andinoacara pulcher hypothetical protein LOC564097 (Ptr) gene, partial cds",737
167848,"Pseudosimochromis curvifrons","KF557046","Pseudosimochromis curvifrons hypothetical protein (ptr) gene, partial cds",642
167846,"Plecodus straeleni","KF557044","Plecodus straeleni hypothetical protein (ptr) gene, partial cds",642
158894,"Oreochromis andersonii","GQ168056","Oreochromis andersonii isolate J38 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
158779,"Pelmatolapia mariae","GQ168074","Tilapia mariae isolate J65 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
143646,"Stomatepia mariae","GQ168048","Stomatepia mariae isolate J25 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
119479,"Herichthys labridens","HQ427612","Herichthys labridens voucher UTFTC 2688 hypothetical protein LOC564097 (Ptr) gene, partial cds",705
96998,"Petenia splendida","HQ427616","Petenia splendida voucher UTFTC 2374 hypothetical protein LOC564097 (Ptr) gene, partial cds",705
81351,"Retroculus xinguensis","KF557084","Retroculus xinguensis hypothetical protein (ptr) gene, partial cds",633
81341,"Satanoperca jurupari","KF557086","Satanoperca jurupari hypothetical protein (ptr) gene, partial cds",546
81336,"Cichla temensis","JX190168","Cichla temensis hypothetical protein (ptr) gene, partial cds",705
80772,"Paratilapia polleni","JX190172","Paratilapia polleni hypothetical protein (ptr) gene, partial cds",705
74137,"Uaru amphiacanthoides","KF557089","Uaru amphiacanthoides hypothetical protein (ptr) gene, partial cds",582
74121,"Hoplarchus psittacus","HQ427620","Hoplarchus psittacus voucher UTFTC 2161 hypothetical protein LOC564097 (Ptr) gene, partial cds",705
73563,"Heterochromis multidens","GQ168031","Heterochromis multidens isolate J05 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
64551,"Tilapia sparrmanii","GQ168051","Tilapia sparrmanii isolate J30 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
64549,"Coptodon guineensis","GQ168088","Tilapia guineensis isolate J84 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
63165,"Caquetaia kraussii","KF557066","Caquetaia kraussii hypothetical protein (ptr) gene, partial cds",582
63160,"Amatitlania sajica","KF557070","Cryptoheros sajica hypothetical protein (ptr) gene, partial cds",582
61819,"Amphilophus citrinellus","HM050148","Amphilophus citrinellus hypothetical protein LOC564097 (Ptr) gene, partial cds",742
61805,"Thorichthys meeki","KF557087","Thorichthys meeki hypothetical protein (ptr) gene, partial cds",543
52954,"Eretmodus cyanostictus","GQ168082","Eretmodus cyanostictus isolate J75 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
51791,"Cyprichromis leptosoma","GQ168086","Cyprichromis leptosoma isolate J80 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
50613,"Sarotherodon melanotheron","GQ168039","Sarotherodon melanotheron nigripinnis isolate J15 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
34808,"Neolamprologus toae","KF557038","Neolamprologus toae hypothetical protein (ptr) gene, partial cds",642
34807,"Variabilichromis moorii","GQ168084","Variabilichromis moorii isolate J77 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
34792,"Altolamprologus calvus","KF557011","Altolamprologus calvus hypothetical protein (ptr) gene, partial cds",642
32492,"Cardiopharynx schoutedeni","KF557018","Cardiopharynx schoutedeni hypothetical protein (ptr) gene, partial cds",642
32488,"Boulengerochromis microlepis","GQ168071","Boulengerochromis microlepis isolate J62 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
30882,"Cyrtocara moorii","KF557022","Cyrtocara moorii hypothetical protein (ptr) gene, partial cds",642
28827,"Pelvicachromis pulcher","KJ816598","Pelvicachromis pulcher isolate CICH26 Ptr (Ptr) gene, partial cds",688
27783,"Cyphotilapia frontosa","KF557021","Cyphotilapia frontosa hypothetical protein (ptr) gene, partial cds",642
27755,"Ophthalmotilapia ventralis","KF557039","Ophthalmotilapia ventralis hypothetical protein (ptr) gene, partial cds",642
27733,"Bathybates ferox","GQ168083","Bathybates ferox isolate J76 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
27731,"Aulonocranus dewindti","KF557013","Aulonocranus dewindti hypothetical protein (ptr) gene, partial cds",642
8150,"Tropheus moorii","HM050205","Tropheus moorii hypothetical protein LOC564097 (Ptr) gene, partial cds",704
8148,"Tropheus duboisi","KF557059","Tropheus duboisi hypothetical protein (ptr) gene, partial cds",642
8144,"Sarotherodon galilaeus","KF557049","Sarotherodon galilaeus hypothetical protein (ptr) gene, partial cds",642
8142,"Oreochromis tanganicae","HM050184","Oreochromis tanganicae hypothetical protein LOC564097 (Ptr) gene, partial cds",739
8130,"Coptodon zillii","GQ168087","Tilapia zillii isolate J83 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
8128,"Oreochromis niloticus","GQ168032","Oreochromis niloticus isolate J07 hypothetical protein LOC564097 (Ptr) gene, partial cds",691
8117,"Herichthys cyanoguttatus","HQ427605","Herichthys cyanoguttatus voucher UTFTC 2443 hypothetical protein LOC564097 (Ptr) gene, partial cds",705
