"taxid","species_name","accession_num","seq_name","seq_len"
3035822,"Rubricatochromis bimaculatus","MH621343","Rubricatochromis bimaculatus NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",1065
2926661,"Pseudetroplus maculatus","AP009505","Pseudetroplus maculatus mitochondrial DNA, complete genome",16457
2591259,"Ptychochromis oligacanthus",NA,NA,NA
795476,"Teleogramma depressa","HM101360","Teleogramma depressa voucher c17 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",943
762061,"Rubricatochromis letourneuxi","PQ014274","Rubricatochromis letourneuxi mitochondrion, complete genome",16698
745802,"Heros efasciatus",NA,NA,NA
673032,"Vieja bifasciata","HQ529492","Vieja bifasciata isolate UTFTC 2033 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
665408,"Congolapia bilineata","GQ167824","Tilapia bilineata 'Salonga' isolate J66 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",1008
661982,"Rocio octofasciata","NC_033548","Rocio octofasciata mitochondrion, complete genome",16539
407193,"Thorichthys maculipinnis","HQ427495","Thorichthys ellioti voucher UTFTC 2841 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
329337,"Nandopsis tetracanthus",NA,NA,NA
318743,"Mayaheros urophthalmus",NA,NA,NA
293472,"Hemichromis elongatus","AY663714","Hemichromis elongatus isolate 2365 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
284740,"Mikrogeophagus ramirezi","NC_031439","Mikrogeophagus ramirezi voucher MikRam_run4RL4 mitochondrion, complete genome",16526
272725,"Neolamprologus modestus","HM623821","Neolamprologus modestus isolate 3457 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
247411,"Amphilophus trimaculatus",NA,NA,NA
244514,"Petrochromis polyodon","GQ995755","Petrochromis polyodon isolate 6633 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
244511,"Limnotilapia dardennii","EF679249","Limnotilapia dardennii NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
242820,"Andinoacara rivulatus","NC_025671","Andinoacara rivulatus mitochondrion, complete genome",16585
238224,"Paretroplus maculatus","NC_011177","Paretroplus maculatus mitochondrion, complete genome",16486
238217,"Ptychochromis grandidieri",NA,NA,NA
219385,"Bathybates fasciatus","EF679236","Bathybates fasciatus NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
219373,"Nanochromis parilus","GQ167815","Nanochromis parilus isolate J53 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",967
172535,"Parachromis managuensis","NC_026918","Parachromis managuensis mitochondrion, complete genome",16526
172532,"Hypselecara temporalis","NC_011168","Hypselecara temporalis mitochondrion, complete genome",16544
172524,"Trichromis salvini",NA,NA,NA
172522,"Andinoacara pulcher","NC_033547","Andinoacara pulcher mitochondrion, complete genome",16513
167848,"Pseudosimochromis curvifrons","GQ995779","Pseudosimochromis curvifrons isolate 7060 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
167846,"Plecodus straeleni","EF679258","Plecodus straeleni NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
158894,"Oreochromis andersonii","NC_037019","Oreochromis andersonii mitochondrion, complete genome",16642
158779,"Pelmatolapia mariae","AF317258","Tilapia mariae NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial gene for mitochondrial product",1047
143646,"Stomatepia mariae","AF317279","Stomatepia mariae NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial gene for mitochondrial product",960
119479,"Herichthys labridens","KT272186","Herichthys labridens isolate MlClab NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1046
96998,"Petenia splendida","NC_024835","Petenia splendida mitochondrion, complete genome",16518
81351,"Retroculus xinguensis",NA,NA,NA
81341,"Satanoperca jurupari","AB018971","Satanoperca jurupari mitochondrial ND1, ND2 genes for NADH dehydrogenase subunit 1, NADH dehydrogenase subunit 2, partial and complete cds",1465
81336,"Cichla temensis","NC_084244","Cichla temensis mitochondrion, complete genome",16530
80772,"Paratilapia polleni","NC_011170","Paratilapia polleni mitochondrion, complete genome",16543
74137,"Uaru amphiacanthoides","NC_033550","Uaru amphiacanthoides mitochondrion, complete genome",16549
74121,"Hoplarchus psittacus","HQ427492","Hoplarchus psittacus voucher UTFTC 2161 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
73563,"Heterochromis multidens","AF317269","Heterochromis multidens NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial gene for mitochondrial product",1032
64551,"Tilapia sparrmanii","AF317260","Tilapia sparrmanii NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial gene for mitochondrial product",1047
64549,"Coptodon guineensis","MK955801","Coptodon guineensis NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",871
63165,"Caquetaia kraussii",NA,NA,NA
63160,"Amatitlania sajica",NA,NA,NA
61819,"Amphilophus citrinellus","NC_023827","Amphilophus citrinellus mitochondrion, complete genome",16522
61805,"Thorichthys meeki","NC_086569","Thorichthys meeki isolate F-T-m-1 mitochondrion, complete genome",16526
52954,"Eretmodus cyanostictus","EF679244","Eretmodus cyanostictus NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
51791,"Cyprichromis leptosoma","EF679243","Cyprichromis leptosoma NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
50613,"Sarotherodon melanotheron","NC_015611","Sarotherodon melanotheron mitochondrion, complete genome",16627
34808,"Neolamprologus toae","AY682543","Palaeolamprologus toae isolate 217 NADH hydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
34807,"Variabilichromis moorii","GQ167833","Variabilichromis moorii isolate J77 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",1008
34792,"Altolamprologus calvus","KX396098","Altolamprologus calvus isolate 6022 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",960
32492,"Cardiopharynx schoutedeni","AY337791","Cardiopharynx schoutedeni NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial gene for mitochondrial product",1047
32488,"Boulengerochromis microlepis","EF679235","Boulengerochromis microlepis NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
30882,"Cyrtocara moorii","AY930089","Cyrtocara moorii NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
28827,"Pelvicachromis pulcher","MZ357707","Pelvicachromis pulcher mitochondrion, complete genome",17196
27783,"Cyphotilapia frontosa","EF679242","Cyphotilapia frontosa NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
27755,"Ophthalmotilapia ventralis","AY337774","Ophthalmotilapia ventralis NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial gene for mitochondrial product",1047
27733,"Bathybates ferox","AY663737","Bathybates ferox isolate 1898 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",1047
